                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    144,                0.27144,                 0.2329,                0.83696,                      1,                0.95531,                0.98052,                0.93181,                0.33017,                0.25986,                0.79209,              0.0005281,              0.0005281,              0.0005281
                    145,                0.27455,                0.23477,                0.84237,                0.99153,                0.97495,                0.98312,                0.93422,                0.33729,                0.26621,                0.79412,              0.0005248,              0.0005248,              0.0005248
                    146,                0.26785,                0.23095,                0.84457,                0.99797,                  0.975,                0.97841,                0.93868,                 0.3238,                0.26022,                0.78767,              0.0005215,              0.0005215,              0.0005215
                    147,                0.25665,                0.22685,                0.83799,                0.99125,                  0.975,                0.97963,                0.93752,                0.32244,                0.25991,                 0.7901,              0.0005182,              0.0005182,              0.0005182
                    148,                0.27411,                0.22916,                0.83232,                0.99945,                  0.975,                0.97987,                0.93051,                0.32818,                0.25665,                0.79185,              0.0005149,              0.0005149,              0.0005149
                    149,                0.25664,                0.21921,                 0.8455,                0.99915,                0.95833,                  0.978,                0.93094,                0.32059,                0.25805,                0.79245,              0.0005116,              0.0005116,              0.0005116
                    150,                0.28039,                0.22953,                0.83987,                0.98939,                0.95833,                0.97941,                0.93784,                0.31893,                0.25054,                0.79101,              0.0005083,              0.0005083,              0.0005083
                    151,                0.29023,                0.23398,                0.84765,                0.99145,                0.96662,                 0.9817,                0.93879,                0.33684,                0.25751,                0.79321,               0.000505,               0.000505,               0.000505
                    152,                0.26944,                0.23193,                0.84639,                0.99145,                0.96637,                0.98716,                0.94555,                0.34399,                0.24908,                0.79954,              0.0005017,              0.0005017,              0.0005017
                    153,                0.28426,                0.23093,                0.84424,                0.99058,                0.96667,                 0.9878,                0.94713,                0.34202,                0.24025,                0.79669,              0.0004984,              0.0004984,              0.0004984
                    154,                0.26807,                 0.2164,                0.84235,                0.99991,                0.95833,                0.98461,                0.94451,                0.32307,                0.23771,                0.79441,              0.0004951,              0.0004951,              0.0004951
                    155,                0.28306,                0.22882,                0.84567,                      1,                0.95706,                0.98591,                0.94751,                0.30579,                0.22802,                0.79077,              0.0004918,              0.0004918,              0.0004918
                    156,                0.27137,                0.22249,                0.84576,                      1,                0.96643,                0.98796,                0.95021,                0.31316,                0.23539,                 0.7931,              0.0004885,              0.0004885,              0.0004885
